sourceId,districtGu,name,lat,lng,widthMeter,areaSquareMeter,ufid,nearestRoadDistanceM,nearestRoadSourceId,nearestRoadName,nearestRoadWidthMeter,nearestRoadPavement,nearestCrosswalkDistanceM,nearestCrosswalkSourceId,nearestCrosswalkLabel,nearCrosswalk30m,nearestFacilityDistanceM,nearestFacilitySourceId,nearestFacilityName,nearestFacilityCategory,nearFacility50m,duplicateClusterId,duplicateClusterSize,priority,priorityScore,reviewStatus,reviewReason,workset,decision,decisionConfidence,decisionReasonCode,kakaoMapUrl,kakaoRoadviewUrl
stairs:3552,해운대구,해운대여고교,35.1699940,129.1534124,0.00,106.68,100035913037C03910100000000021065,85.8,busan-road-polygon:240286,,6.8,RDQ006,601.5,crosswalk:93,럭키수퍼마켓앞,false,243.1,public_toilet:1070,시립해운대도서관,화장실,false,STC-3228,1,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼",EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:고교,"https://map.kakao.com/link/map/35.1699940,129.1534124","https://map.kakao.com/link/roadview/35.1699940,129.1534124"
stairs:3615,해운대구,반여중교,35.2003550,129.1358656,3.50,20.50,100035913016C03910100000000021561,87.7,busan-road-polygon:245914,,3.0,RDQ006,399.9,crosswalk:428,일신여객,false,226.5,public_toilet:1080,반여3동주민센터,화장실,false,STC-3283,4,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼, 15m 이내 계단 클러스터",EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:중교,"https://map.kakao.com/link/map/35.2003550,129.1358656","https://map.kakao.com/link/roadview/35.2003550,129.1358656"
stairs:3614,해운대구,반여중교,35.2003619,129.1359346,4.40,25.80,100035913016C03910100000000021560,93.8,busan-road-polygon:245914,,3.0,RDQ006,406.2,crosswalk:428,일신여객,false,232.2,public_toilet:1080,반여3동주민센터,화장실,false,STC-3283,4,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼, 15m 이내 계단 클러스터",EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:중교,"https://map.kakao.com/link/map/35.2003619,129.1359346","https://map.kakao.com/link/roadview/35.2003619,129.1359346"
stairs:3613,해운대구,반여중교,35.2003440,129.1360059,4.30,13.33,100035913016C03910100000000021559,100.5,busan-road-polygon:245914,,3.0,RDQ006,412.5,crosswalk:428,일신여객,false,239.0,public_toilet:1080,반여3동주민센터,화장실,false,STC-3283,4,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼, 15m 이내 계단 클러스터",EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:중교,"https://map.kakao.com/link/map/35.2003440,129.1360059","https://map.kakao.com/link/roadview/35.2003440,129.1360059"
stairs:3612,해운대구,반여중교,35.2002671,129.1360085,45.00,26.05,100035913016C03910100000000021558,102.0,busan-road-polygon:245914,,3.0,RDQ006,412.0,crosswalk:428,일신여객,false,241.9,public_toilet:1080,반여3동주민센터,화장실,false,STC-3283,4,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼, 15m 이내 계단 클러스터",EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:중교,"https://map.kakao.com/link/map/35.2002671,129.1360085","https://map.kakao.com/link/roadview/35.2002671,129.1360085"
stairs:3498,해운대구,해강중교,35.1636848,129.1361392,3.00,60.09,100035913036C03910100000000020999,105.6,busan-road-polygon:251932,,50.0,RDQ006,52.7,crosswalk:235,해강중학교,false,186.6,public_toilet:1119,마리나타운 주유소,화장실,false,STC-3180,1,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼",EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:중교,"https://map.kakao.com/link/map/35.1636848,129.1361392","https://map.kakao.com/link/roadview/35.1636848,129.1361392"
stairs:3550,해운대구,해운대중교,35.1718628,129.1619744,0.00,94.49,100035913037C03910100000000021061,109.9,busan-road-polygon:252000,외부순환도로,15.0,RDQ006,208.4,crosswalk:175,해운대고교,false,407.5,public_toilet:1127,해운대지소 화장실,화장실,false,STC-3226,1,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼",EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:중교,"https://map.kakao.com/link/map/35.1718628,129.1619744","https://map.kakao.com/link/roadview/35.1718628,129.1619744"
stairs:3491,해운대구,해강고교,35.1639461,129.1372114,4.10,9.87,100035913036C03910100000000020989,129.9,busan-road-polygon:251932,,50.0,RDQ006,105.8,crosswalk:235,해강중학교,false,120.9,public_toilet:1119,마리나타운 주유소,화장실,false,STC-3174,1,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼",EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:고교,"https://map.kakao.com/link/map/35.1639461,129.1372114","https://map.kakao.com/link/roadview/35.1639461,129.1372114"
stairs:3527,해운대구,국립부산기계공업고교,35.1640737,129.1544103,2.00,55.38,100035913037C03910100000000021034,131.0,busan-road-polygon:240332,,1.5,RDQ005,213.3,crosswalk:164,해운대교회,false,275.9,public_toilet:1179,돌고래주유소,화장실,false,STC-3208,2,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼, 15m 이내 계단 클러스터",EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:고교,"https://map.kakao.com/link/map/35.1640737,129.1544103","https://map.kakao.com/link/roadview/35.1640737,129.1544103"
stairs:3512,해운대구,계단,35.1731604,129.1272575,3.00,45.44,100035913036C03910100000000021019,236.8,busan-road-polygon:252315,외부순환도로,28.0,RDQ006,80.5,crosswalk:257,"센텀시티18,38지점",false,172.7,public_toilet:1157,영화진흥위원회,화장실,false,STC-3193,1,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼",EXCLUDED,EXCLUDE_LOW_CONNECTIVITY_VERY_STRONG,MEDIUM_HIGH,p4_road_gt_100m_no_crosswalk30_no_facility50,"https://map.kakao.com/link/map/35.1731604,129.1272575","https://map.kakao.com/link/roadview/35.1731604,129.1272575"
stairs:3499,해운대구,해운대공업고교,35.1668390,129.1446916,3.00,51.46,100035913036C03910100000000021000,528.4,busan-road-polygon:251963,외부순환도로,20.0,RDQ006,253.9,crosswalk:155,우2동 해림초교앞,false,286.6,barrier_free_facility:6877,마마빌딩,음식·카페,false,STC-3181,1,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼",EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:고교,"https://map.kakao.com/link/map/35.1668390,129.1446916","https://map.kakao.com/link/roadview/35.1668390,129.1446916"
stairs:3676,해운대구,반여초등학교,35.2031670,129.1289271,0.00,23.78,100035913016C03910100000000022600,20.9,busan-road-polygon:245789,,22.0,RDQ006,356.7,crosswalk:67,아세안 선수촌 단지내(3) (신촌주유소),false,180.0,public_toilet:1123,오봉산 숲 놀이터,화장실,false,STC-3335,1,P4,0,LOW_PRIORITY,도로 polygon 20m 초과,EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:학교|초등,"https://map.kakao.com/link/map/35.2031670,129.1289271","https://map.kakao.com/link/roadview/35.2031670,129.1289271"
stairs:3742,해운대구,장산중교,35.1987977,129.1170632,0.00,44.00,100035913025C03910100000000041874,21.5,busan-road-polygon:251387,,14.7,RDQ006,110.5,crosswalk:79,장산중학교,false,138.1,barrier_free_facility:6623,바담 코다리막국수,음식·카페,false,STC-3391,1,P4,0,LOW_PRIORITY,도로 polygon 20m 초과,EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:중교,"https://map.kakao.com/link/map/35.1987977,129.1170632","https://map.kakao.com/link/roadview/35.1987977,129.1170632"
stairs:3688,해운대구,운송중교,35.2349611,129.1524952,0.00,39.56,100035913007C03910100000000022615,23.3,busan-road-polygon:249508,,8.5,RDQ006,297.2,crosswalk:425,운봉초교,false,241.5,barrier_free_facility:6540,천사들의 집,복지·돌봄,false,STC-3344,2,P4,0,LOW_PRIORITY,"도로 polygon 20m 초과, 15m 이내 계단 클러스터",EXCLUDED,EXCLUDE_PRIVATE_SCHOOL_CAMPUS,HIGH,name_has_private_internal_keyword:중교,"https://map.kakao.com/link/map/35.2349611,129.1524952","https://map.kakao.com/link/roadview/35.2349611,129.1524952"
