sourceId,districtGu,name,lat,lng,widthMeter,areaSquareMeter,ufid,nearestRoadDistanceM,nearestRoadSourceId,nearestRoadName,nearestRoadWidthMeter,nearestRoadPavement,nearestCrosswalkDistanceM,nearestCrosswalkSourceId,nearestCrosswalkLabel,nearCrosswalk30m,nearestFacilityDistanceM,nearestFacilitySourceId,nearestFacilityName,nearestFacilityCategory,nearFacility50m,duplicateClusterId,duplicateClusterSize,priority,priorityScore,reviewStatus,reviewReason,workset,decision,decisionConfidence,decisionReasonCode,kakaoMapUrl,kakaoRoadviewUrl,firstPassDecision,firstPassConfidence,firstPassReasonCode,secondPassDecision,secondPassConfidence,secondPassReasonCode
stairs:61,강서구,계단,35.2200144,128.9358339,0.00,7.87,100035816018C03910100000000009533,10.7,busan-road-polygon:7967,,8.0,RDQ006,150.9,crosswalk:3248,대사초등학교,false,167.8,public_toilet:1526,만은에너지(주)대사리주유소,화장실,false,STC-0058,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2200144,128.9358339","https://map.kakao.com/link/roadview/35.2200144,128.9358339",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_private_or_commercial_context_weak_walk_clue
stairs:352,강서구,계단,35.0804850,128.9007115,0.00,6.75,100035816067C03910100000000040909,11.5,busan-road-polygon:27307,,1.5,RDQ005,134.8,crosswalk:2773,,false,246.2,barrier_free_facility:9456,성원빌딩,의료·보건,false,STC-0331,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0804850,128.9007115","https://map.kakao.com/link/roadview/35.0804850,128.9007115",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_private_or_commercial_context_weak_walk_clue
stairs:78,강서구,계단,35.2178063,128.9467364,0.00,5.41,100035816018C03910100000000009551,11.5,busan-road-polygon:7531,,6.0,RDQ006,335.5,crosswalk:3246,용화사,false,330.1,public_toilet:1665,우리2주유소,화장실,false,STC-0074,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2178063,128.9467364","https://map.kakao.com/link/roadview/35.2178063,128.9467364",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_private_or_commercial_context_weak_walk_clue
stairs:137,강서구,계단,35.1599554,128.9577632,0.00,19.52,100035816039C03910100000000010725,11.7,busan-road-polygon:13959,,50.0,RDQ006,264.8,crosswalk:3218,서부산I/C,false,702.3,barrier_free_facility:9362,에어포트호텔,숙박,false,STC-0130,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1599554,128.9577632","https://map.kakao.com/link/roadview/35.1599554,128.9577632",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_private_or_commercial_context_weak_walk_clue
stairs:256,강서구,계단,35.0956403,128.9179733,0.00,23.30,100035816067C03910100000000040759,11.9,busan-road-polygon:32918,,18.0,RDQ006,169.7,crosswalk:2900,중흥S클래스 프라디움,false,265.3,barrier_free_facility:9481,씨에스프라자,음식·카페,false,STC-0239,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0956403,128.9179733","https://map.kakao.com/link/roadview/35.0956403,128.9179733",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_private_or_commercial_context_weak_walk_clue
stairs:263,강서구,계단,35.0997812,128.9181592,0.00,21.61,100035816067C03910100000000040766,12.0,busan-road-polygon:23390,,41.0,RDQ006,454.9,crosswalk:2900,중흥S클래스 프라디움,false,238.4,barrier_free_facility:9481,씨에스프라자,음식·카페,false,STC-0245,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0997812,128.9181592","https://map.kakao.com/link/roadview/35.0997812,128.9181592",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_private_or_commercial_context_weak_walk_clue
stairs:261,강서구,계단,35.0989541,128.9187633,0.00,16.94,100035816067C03910100000000040764,13.0,busan-road-polygon:32843,,16.0,RDQ006,402.2,crosswalk:2900,중흥S클래스 프라디움,false,133.0,barrier_free_facility:9481,씨에스프라자,음식·카페,false,STC-0243,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0989541,128.9187633","https://map.kakao.com/link/roadview/35.0989541,128.9187633",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_private_or_commercial_context_weak_walk_clue
stairs:44,강서구,계단,35.2202507,128.9346717,0.00,7.32,100035816018C03910100000000009515,13.1,busan-road-polygon:8613,,2.8,RDQ006,163.1,crosswalk:3248,대사초등학교,false,141.0,public_toilet:1648,서강주유소,화장실,false,STC-0041,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2202507,128.9346717","https://map.kakao.com/link/roadview/35.2202507,128.9346717",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_private_or_commercial_context_weak_walk_clue
stairs:205,강서구,계단,35.0338101,128.8214539,0.00,8.38,100035816083C03910100000000038318,13.6,busan-road-polygon:100,,3.0,RDQ006,891.5,crosswalk:2800,(천성~눌차간)서중2교차로,false,695.8,public_toilet:1596,천성보건진료소,화장실,false,STC-0193,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0338101,128.8214539","https://map.kakao.com/link/roadview/35.0338101,128.8214539",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_isolated_no_public_walk_clue
stairs:254,강서구,계단,35.0955803,128.9183391,0.00,12.76,100035816067C03910100000000040757,14.3,busan-road-polygon:32918,,18.0,RDQ006,160.2,crosswalk:2782,,false,259.4,barrier_free_facility:9481,씨에스프라자,음식·카페,false,STC-0237,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0955803,128.9183391","https://map.kakao.com/link/roadview/35.0955803,128.9183391",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_private_or_commercial_context_weak_walk_clue
stairs:257,강서구,계단,35.0980802,128.9166299,0.00,17.20,100035816067C03910100000000040760,14.4,busan-road-polygon:32880,,41.0,RDQ006,232.3,crosswalk:2900,중흥S클래스 프라디움,false,236.2,barrier_free_facility:9481,씨에스프라자,음식·카페,false,STC-0240,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0980802,128.9166299","https://map.kakao.com/link/roadview/35.0980802,128.9166299",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,LIKELY_EXCLUDE,MEDIUM,p3_private_or_commercial_context_weak_walk_clue
