sourceId,districtGu,name,lat,lng,widthMeter,areaSquareMeter,ufid,nearestRoadDistanceM,nearestRoadSourceId,nearestRoadName,nearestRoadWidthMeter,nearestRoadPavement,nearestCrosswalkDistanceM,nearestCrosswalkSourceId,nearestCrosswalkLabel,nearCrosswalk30m,nearestFacilityDistanceM,nearestFacilitySourceId,nearestFacilityName,nearestFacilityCategory,nearFacility50m,duplicateClusterId,duplicateClusterSize,priority,priorityScore,reviewStatus,reviewReason,workset,decision,decisionConfidence,decisionReasonCode,kakaoMapUrl,kakaoRoadviewUrl
stairs:140,강서구,계단,35.1574422,128.9482297,0.00,97.04,100035816038C03910100000000010728,0.0,busan-road-polygon:41534,남해고속국도제2지선,13.5,RDQ006,570.2,crosswalk:2826,서부산유통단지 8지점,false,51.6,public_toilet:1657,서부산(순천)휴게소,화장실,false,STC-0133,1,P1,65,CANDIDATE,"도로 polygon과 겹침, 폭/면적 기준 큼",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1574422,128.9482297","https://map.kakao.com/link/roadview/35.1574422,128.9482297"
stairs:146,강서구,계단,35.1530298,128.8190541,0.00,159.77,100035816033C03910100000000010893,0.0,busan-road-polygon:22922,,16.0,RDQ006,362.0,crosswalk:2883,지사2지점,false,1106.2,public_toilet:1591,지사민원센터,화장실,false,STC-0139,1,P1,65,CANDIDATE,"도로 polygon과 겹침, 폭/면적 기준 큼",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1530298,128.8190541","https://map.kakao.com/link/roadview/35.1530298,128.8190541"
stairs:185,강서구,계단,35.0142158,128.8276871,0.00,69.76,100035816094C03910100000000037055,0.0,busan-road-polygon:25204,,4.0,RDQ006,2524.2,crosswalk:2800,(천성~눌차간)서중2교차로,false,90.3,public_toilet:1662,대항항관광체험장,화장실,false,STC-0173,1,P1,65,CANDIDATE,"도로 polygon과 겹침, 폭/면적 기준 큼",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0142158,128.8276871","https://map.kakao.com/link/roadview/35.0142158,128.8276871"
stairs:191,강서구,계단,35.1517770,128.8324880,0.00,362.78,100035816034C03910100000000038155,0.0,busan-road-polygon:35765,,4.0,RDQ006,185.7,crosswalk:2890,지사8지점,false,72.3,public_toilet:1515,지사파출소,화장실,false,STC-0179,1,P1,65,CANDIDATE,"도로 polygon과 겹침, 폭/면적 기준 큼",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1517770,128.8324880","https://map.kakao.com/link/roadview/35.1517770,128.8324880"
stairs:194,강서구,계단,35.1449672,128.8309733,0.00,130.98,100035816044C03910100000000038158,0.0,busan-road-polygon:35927,,3.0,RDQ006,119.7,crosswalk:2879,지사9지점,false,553.1,barrier_free_facility:9729,가호프라자빌딩,의료·보건,false,STC-0182,1,P1,65,CANDIDATE,"도로 polygon과 겹침, 폭/면적 기준 큼",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1449672,128.8309733","https://map.kakao.com/link/roadview/35.1449672,128.8309733"
stairs:359,강서구,계단,35.0630689,128.8523365,0.00,79.90,100035816075C03910100000000040916,0.0,busan-road-polygon:27581,,3.0,RDQ005,2366.5,crosswalk:3068,녹산공단35지점(삼보정밀화학공업),false,456.8,public_toilet:1557,내눌삼거리방조제앞,화장실,false,STC-0338,1,P1,65,CANDIDATE,"도로 polygon과 겹침, 폭/면적 기준 큼",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0630689,128.8523365","https://map.kakao.com/link/roadview/35.0630689,128.8523365"
stairs:101,강서구,계단,35.2209663,128.9329973,0.00,4.17,100035816018C03910100000000009597,0.8,busan-road-polygon:7982,,7.0,RDQ006,157.2,crosswalk:3251,강동우체국,false,27.2,barrier_free_facility:9392,대사1구 행복센터,복지·돌봄,true,STC-0097,3,P1,65,CANDIDATE,"도로 polygon 5m 이내, 편의시설 50m 이내, 15m 이내 계단 클러스터",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2209663,128.9329973","https://map.kakao.com/link/roadview/35.2209663,128.9329973"
stairs:180,강서구,계단,35.0101611,128.8253353,0.00,1.63,100035816094C03910100000000037050,1.8,busan-road-polygon:25256,,8.0,RDQ006,2802.2,crosswalk:2800,(천성~눌차간)서중2교차로,false,16.5,public_toilet:1651,대항마을어촌관광단지,화장실,true,STC-0169,5,P1,65,CANDIDATE,"도로 polygon 5m 이내, 편의시설 50m 이내, 15m 이내 계단 클러스터",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0101611,128.8253353","https://map.kakao.com/link/roadview/35.0101611,128.8253353"
stairs:187,강서구,계단,35.0223179,128.8218521,0.00,7.20,100035816093C03910100000000037057,1.9,busan-road-polygon:25016,,8.0,RDQ006,1485.1,crosswalk:2800,(천성~눌차간)서중2교차로,false,24.6,public_toilet:1473,지양곡연대봉등산로,화장실,true,STC-0175,1,P1,65,CANDIDATE,"도로 polygon 5m 이내, 편의시설 50m 이내",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0223179,128.8218521","https://map.kakao.com/link/roadview/35.0223179,128.8218521"
stairs:34,강서구,계단,35.2123500,128.9695059,0.00,29.26,100035816019C03910100000000009504,3.3,busan-road-polygon:41293,거제-포항선,35.0,RDQ006,286.3,crosswalk:3208,진흥주유소,false,17.9,charging_station:6,체육공원역,전동보장구 충전소,true,STC-0031,1,P1,65,CANDIDATE,"도로 polygon 5m 이내, 편의시설 50m 이내",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2123500,128.9695059","https://map.kakao.com/link/roadview/35.2123500,128.9695059"
