sourceId,districtGu,name,lat,lng,widthMeter,areaSquareMeter,ufid,nearestRoadDistanceM,nearestRoadSourceId,nearestRoadName,nearestRoadWidthMeter,nearestRoadPavement,nearestCrosswalkDistanceM,nearestCrosswalkSourceId,nearestCrosswalkLabel,nearCrosswalk30m,nearestFacilityDistanceM,nearestFacilitySourceId,nearestFacilityName,nearestFacilityCategory,nearFacility50m,duplicateClusterId,duplicateClusterSize,priority,priorityScore,reviewStatus,reviewReason,workset,decision,decisionConfidence,decisionReasonCode,kakaoMapUrl,kakaoRoadviewUrl
stairs:3252,영도구,함지골수련원,35.0740255,129.0541369,0.00,45.39,100035913073C03910100000000021220,100.1,busan-road-polygon:228845,,1.5,RDQ005,539.7,crosswalk:1601,동삼1지구도개공아파트,false,51.4,tourist_spot:43,함지골청소년수련관,관광지,false,STC-2944,1,P4,0,LOW_PRIORITY,도로 polygon 20m 초과,P4_MANUAL_REVIEW,REVIEW_P4_PUBLIC_CONTEXT,MEDIUM,p4_road_gt_50m_public_context_needs_map_check,"https://map.kakao.com/link/map/35.0740255,129.0541369","https://map.kakao.com/link/roadview/35.0740255,129.0541369"
stairs:3354,중구,계단,35.1056159,129.0287942,0.00,171.38,100035913052C03910100000000009014,20.9,busan-road-polygon:236104,,12.0,RDQ006,25.4,crosswalk:3758,중구사회복지관앞,true,53.8,barrier_free_facility:2152,중구종합사회복지관,복지·돌봄,false,STC-3040,1,P4,25,LOW_PRIORITY,"도로 polygon 20m 초과, 횡단보도 30m 이내, 폭/면적 기준 큼",P4_MANUAL_REVIEW,REVIEW_P4_NEAR_ROAD_OR_CLUE,MEDIUM,p4_road_le_50m_or_has_nearby_clue,"https://map.kakao.com/link/map/35.1056159,129.0287942","https://map.kakao.com/link/roadview/35.1056159,129.0287942"
stairs:3403,중구,계단,35.1095906,129.0309749,0.00,142.07,100035913052C03910100000000010034,20.1,busan-road-polygon:235272,,13.4,RDQ006,98.1,crosswalk:3747,덕원공고,false,36.7,public_toilet:10,박기종 기념관,화장실,true,STC-3089,1,P4,20,LOW_PRIORITY,"도로 polygon 20m 초과, 편의시설 50m 이내, 폭/면적 기준 큼",P4_MANUAL_REVIEW,REVIEW_P4_NEAR_ROAD_OR_CLUE,MEDIUM,p4_road_le_50m_or_has_nearby_clue,"https://map.kakao.com/link/map/35.1095906,129.0309749","https://map.kakao.com/link/roadview/35.1095906,129.0309749"
stairs:3357,중구,계단,35.1038107,129.0283443,0.00,192.81,100035913052C03910100000000009017,20.6,busan-road-polygon:235795,,20.0,RDQ006,57.7,crosswalk:3756,카톨릭센타,false,41.7,public_toilet:3,보수공영주차장,화장실,true,STC-3043,1,P4,20,LOW_PRIORITY,"도로 polygon 20m 초과, 편의시설 50m 이내, 폭/면적 기준 큼",P4_MANUAL_REVIEW,REVIEW_P4_NEAR_ROAD_OR_CLUE,MEDIUM,p4_road_le_50m_or_has_nearby_clue,"https://map.kakao.com/link/map/35.1038107,129.0283443","https://map.kakao.com/link/roadview/35.1038107,129.0283443"
stairs:3378,중구,계단,35.1119286,129.0317286,0.00,151.18,100035913052C03910100000000010008,20.6,busan-road-polygon:235200,,5.6,RDQ006,208.6,crosswalk:3746,영주어린이집,false,37.0,public_toilet:28,영주2동주민센터,화장실,true,STC-3064,1,P4,20,LOW_PRIORITY,"도로 polygon 20m 초과, 편의시설 50m 이내, 폭/면적 기준 큼",P4_MANUAL_REVIEW,REVIEW_P4_NEAR_ROAD_OR_CLUE,MEDIUM,p4_road_le_50m_or_has_nearby_clue,"https://map.kakao.com/link/map/35.1119286,129.0317286","https://map.kakao.com/link/roadview/35.1119286,129.0317286"
stairs:3445,중구,계단,35.1014836,129.0336198,2.40,274.75,100035913052C03910100000000019925,21.5,busan-road-polygon:235662,,1.5,RDQ005,163.3,crosswalk:3813,부산우체국,false,19.9,charging_station:182,영화체험박물관,전동보장구 충전소,true,STC-3131,1,P4,20,LOW_PRIORITY,"도로 polygon 20m 초과, 편의시설 50m 이내, 폭/면적 기준 큼",P4_MANUAL_REVIEW,REVIEW_P4_NEAR_ROAD_OR_CLUE,MEDIUM,p4_road_le_50m_or_has_nearby_clue,"https://map.kakao.com/link/map/35.1014836,129.0336198","https://map.kakao.com/link/roadview/35.1014836,129.0336198"
stairs:3367,중구,계단,35.1036443,129.0266402,0.00,109.14,100035913052C03910100000000009027,23.1,busan-road-polygon:235990,,3.0,RDQ006,64.0,crosswalk:3767,보수부산은행,false,48.4,public_toilet:65,보수동책방골목어린이도서관,화장실,true,STC-3053,1,P4,20,LOW_PRIORITY,"도로 polygon 20m 초과, 편의시설 50m 이내, 폭/면적 기준 큼",P4_MANUAL_REVIEW,REVIEW_P4_NEAR_ROAD_OR_CLUE,MEDIUM,p4_road_le_50m_or_has_nearby_clue,"https://map.kakao.com/link/map/35.1036443,129.0266402","https://map.kakao.com/link/roadview/35.1036443,129.0266402"
stairs:3362,중구,부산지방기상청,35.1044614,129.0324557,0.00,178.06,100035913052C03910100000000009022,27.5,busan-road-polygon:235548,,1.5,RDQ005,145.7,crosswalk:3755,대청장빌딩(여관),false,44.2,public_toilet:72,부산지방기상청,화장실,true,STC-3048,1,P4,20,LOW_PRIORITY,"도로 polygon 20m 초과, 편의시설 50m 이내, 폭/면적 기준 큼",P4_MANUAL_REVIEW,REVIEW_P4_NEAR_ROAD_OR_CLUE,MEDIUM,p4_road_le_50m_or_has_nearby_clue,"https://map.kakao.com/link/map/35.1044614,129.0324557","https://map.kakao.com/link/roadview/35.1044614,129.0324557"
stairs:3346,중구,계단,35.1091019,129.0314985,0.00,539.12,100035913052C03910100000000009006,30.4,busan-road-polygon:235272,,13.4,RDQ006,43.4,crosswalk:3747,덕원공고,false,48.7,public_toilet:10,박기종 기념관,화장실,true,STC-3032,1,P4,20,LOW_PRIORITY,"도로 polygon 20m 초과, 편의시설 50m 이내, 폭/면적 기준 큼",P4_MANUAL_REVIEW,REVIEW_P4_NEAR_ROAD_OR_CLUE,MEDIUM,p4_road_le_50m_or_has_nearby_clue,"https://map.kakao.com/link/map/35.1091019,129.0314985","https://map.kakao.com/link/roadview/35.1091019,129.0314985"
stairs:3370,중구,중앙공원무궁화동산,35.1147769,129.0281933,0.00,786.83,100035913052C03910100000000009998,100.6,busan-road-polygon:199847,,1.5,RDQ005,357.6,crosswalk:3746,영주어린이집,false,45.4,public_toilet:74,중앙공원 충혼탑,화장실,true,STC-3056,1,P4,20,LOW_PRIORITY,"도로 polygon 20m 초과, 편의시설 50m 이내, 폭/면적 기준 큼",P4_MANUAL_REVIEW,REVIEW_P4_PUBLIC_CONTEXT,MEDIUM,p4_road_gt_50m_public_context_needs_map_check,"https://map.kakao.com/link/map/35.1147769,129.0281933","https://map.kakao.com/link/roadview/35.1147769,129.0281933"
stairs:3384,중구,계단,35.1148419,129.0313085,0.00,177.67,100035913052C03910100000000010014,102.8,busan-road-polygon:235030,,5.5,RDQ006,322.8,crosswalk:1660,동일파크맨션,false,27.0,public_toilet:29,웰빙체육관,화장실,true,STC-3070,1,P4,20,LOW_PRIORITY,"도로 polygon 20m 초과, 편의시설 50m 이내, 폭/면적 기준 큼",P4_MANUAL_REVIEW,REVIEW_P4_PUBLIC_CONTEXT,MEDIUM,p4_road_gt_50m_public_context_needs_map_check,"https://map.kakao.com/link/map/35.1148419,129.0313085","https://map.kakao.com/link/roadview/35.1148419,129.0313085"
stairs:3433,중구,계단,35.1085079,129.0345260,3.00,217.33,100035913052C03910100000000019908,20.3,busan-road-polygon:235127,,10.2,RDQ006,96.7,crosswalk:3752,코모도호텔,false,78.7,accommodation:58,코모도 호텔 부산,숙박,false,STC-3119,1,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼",P4_MANUAL_REVIEW,REVIEW_P4_NEAR_ROAD_OR_CLUE,MEDIUM,p4_road_le_50m_or_has_nearby_clue,"https://map.kakao.com/link/map/35.1085079,129.0345260","https://map.kakao.com/link/roadview/35.1085079,129.0345260"
stairs:3376,중구,계단,35.1133157,129.0304659,0.00,125.63,100035913052C03910100000000010005,21.0,busan-road-polygon:235253,,11.4,RDQ006,199.2,crosswalk:3746,영주어린이집,false,118.1,public_toilet:22,고맙습니다.글마루작은도서관,화장실,false,STC-3062,1,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼",P4_MANUAL_REVIEW,REVIEW_P4_NEAR_ROAD_OR_CLUE,MEDIUM,p4_road_le_50m_or_has_nearby_clue,"https://map.kakao.com/link/map/35.1133157,129.0304659","https://map.kakao.com/link/roadview/35.1133157,129.0304659"
stairs:3381,중구,계단,35.1142548,129.0302098,0.00,238.40,100035913052C03910100000000010011,21.0,busan-road-polygon:235053,,13.0,RDQ006,289.0,crosswalk:3746,영주어린이집,false,140.4,public_toilet:29,웰빙체육관,화장실,false,STC-3067,1,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼",P4_MANUAL_REVIEW,REVIEW_P4_NEAR_ROAD_OR_CLUE,MEDIUM,p4_road_le_50m_or_has_nearby_clue,"https://map.kakao.com/link/map/35.1142548,129.0302098","https://map.kakao.com/link/roadview/35.1142548,129.0302098"
stairs:3373,중구,계단,35.1134417,129.0298768,0.00,140.04,100035913052C03910100000000010002,21.2,busan-road-polygon:235071,,11.8,RDQ006,194.4,crosswalk:3746,영주어린이집,false,172.4,public_toilet:22,고맙습니다.글마루작은도서관,화장실,false,STC-3059,1,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼",P4_MANUAL_REVIEW,REVIEW_P4_NEAR_ROAD_OR_CLUE,MEDIUM,p4_road_le_50m_or_has_nearby_clue,"https://map.kakao.com/link/map/35.1134417,129.0298768","https://map.kakao.com/link/roadview/35.1134417,129.0298768"
stairs:3341,중구,계단,35.1141998,129.0319286,0.00,156.28,100035913052C03910100000000009001,22.3,busan-road-polygon:235030,,5.5,RDQ006,330.1,crosswalk:3773,부산터널,false,73.0,public_toilet:29,웰빙체육관,화장실,false,STC-3027,1,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼",P4_MANUAL_REVIEW,REVIEW_P4_NEAR_ROAD_OR_CLUE,MEDIUM,p4_road_le_50m_or_has_nearby_clue,"https://map.kakao.com/link/map/35.1141998,129.0319286","https://map.kakao.com/link/roadview/35.1141998,129.0319286"
stairs:3434,중구,계단,35.1068297,129.0352914,2.50,238.97,100035913052C03910100000000019909,22.3,busan-road-polygon:237545,,13.8,RDQ006,113.3,crosswalk:3777,중부서,false,62.3,barrier_free_facility:2138,동광동주민센터,행정·공공기관,false,STC-3120,1,P4,5,LOW_PRIORITY,"도로 polygon 20m 초과, 폭/면적 기준 큼",P4_MANUAL_REVIEW,REVIEW_P4_NEAR_ROAD_OR_CLUE,MEDIUM,p4_road_le_50m_or_has_nearby_clue,"https://map.kakao.com/link/map/35.1068297,129.0352914","https://map.kakao.com/link/roadview/35.1068297,129.0352914"
