sourceId,districtGu,name,lat,lng,widthMeter,areaSquareMeter,ufid,nearestRoadDistanceM,nearestRoadSourceId,nearestRoadName,nearestRoadWidthMeter,nearestRoadPavement,nearestCrosswalkDistanceM,nearestCrosswalkSourceId,nearestCrosswalkLabel,nearCrosswalk30m,nearestFacilityDistanceM,nearestFacilitySourceId,nearestFacilityName,nearestFacilityCategory,nearFacility50m,duplicateClusterId,duplicateClusterSize,priority,priorityScore,reviewStatus,reviewReason,workset,decision,decisionConfidence,decisionReasonCode,kakaoMapUrl,kakaoRoadviewUrl,firstPassDecision,firstPassConfidence,firstPassReasonCode,secondPassDecision,secondPassConfidence,secondPassReasonCode
stairs:197,강서구,계단,35.1443287,128.8230880,0.00,30.85,100035816043C03910100000000038166,6.3,busan-road-polygon:36077,,13.0,RDQ006,319.9,crosswalk:3003,지사11지점,false,932.9,barrier_free_facility:9737,일반음식점,음식·카페,false,STC-0185,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1443287,128.8230880","https://map.kakao.com/link/roadview/35.1443287,128.8230880",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,MANUAL_REVIEW,MEDIUM,p3_no_nearby_crosswalk_or_facility_still_needs_visual_check
stairs:227,강서구,계단,35.1496997,128.9485712,0.00,23.24,100035816048C03910100000000040717,6.3,busan-road-polygon:2147,,6.0,RDQ006,489.2,crosswalk:3216,맥도마을,false,316.9,public_toilet:1474,부산공항LPG충전소,화장실,false,STC-0212,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1496997,128.9485712","https://map.kakao.com/link/roadview/35.1496997,128.9485712",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,MANUAL_REVIEW,MEDIUM,p3_no_nearby_crosswalk_or_facility_still_needs_visual_check
stairs:192,강서구,계단,35.1427289,128.8237422,0.00,28.34,100035816043C03910100000000038156,6.6,busan-road-polygon:36077,,13.0,RDQ006,134.8,crosswalk:3003,지사11지점,false,887.5,barrier_free_facility:9737,일반음식점,음식·카페,false,STC-0180,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1427289,128.8237422","https://map.kakao.com/link/roadview/35.1427289,128.8237422",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,MANUAL_REVIEW,MEDIUM,p3_no_nearby_crosswalk_or_facility_still_needs_visual_check
stairs:75,강서구,계단,35.2154519,128.9437935,0.00,1.62,100035816018C03910100000000009548,6.6,busan-road-polygon:8183,,8.0,RDQ006,41.8,crosswalk:3246,용화사,false,55.9,public_toilet:1665,우리2주유소,화장실,false,STC-0065,2,P3,25,LOW_PRIORITY,"도로 polygon 20m 이내, 15m 이내 계단 클러스터",KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2154519,128.9437935","https://map.kakao.com/link/roadview/35.2154519,128.9437935",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,MANUAL_REVIEW,MEDIUM,p3_no_nearby_crosswalk_or_facility_still_needs_visual_check
stairs:251,강서구,계단,35.1070388,128.9229634,0.00,11.40,100035816057C03910100000000040754,6.7,busan-road-polygon:33685,,10.0,RDQ006,675.9,crosswalk:3257,명지중리입구,false,272.0,barrier_free_facility:9418,자담면가,음식·카페,false,STC-0234,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1070388,128.9229634","https://map.kakao.com/link/roadview/35.1070388,128.9229634",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,MANUAL_REVIEW,MEDIUM,p3_no_nearby_crosswalk_or_facility_still_needs_visual_check
stairs:57,강서구,계단,35.2191356,128.9354567,0.00,7.15,100035816018C03910100000000009529,6.9,busan-road-polygon:8584,,3.0,RDQ006,51.2,crosswalk:3248,대사초등학교,false,114.9,public_toilet:1648,서강주유소,화장실,false,STC-0054,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2191356,128.9354567","https://map.kakao.com/link/roadview/35.2191356,128.9354567",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,MANUAL_REVIEW,MEDIUM,p3_no_nearby_crosswalk_or_facility_still_needs_visual_check
stairs:74,강서구,계단,35.2166109,128.9432519,0.00,10.50,100035816018C03910100000000009547,7.5,busan-road-polygon:8177,,2.5,RDQ006,112.3,crosswalk:3246,용화사,false,159.1,public_toilet:1665,우리2주유소,화장실,false,STC-0071,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2166109,128.9432519","https://map.kakao.com/link/roadview/35.2166109,128.9432519",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,MANUAL_REVIEW,MEDIUM,p3_no_nearby_crosswalk_or_facility_still_needs_visual_check
stairs:52,강서구,계단,35.2194334,128.9346300,0.00,5.64,100035816018C03910100000000009524,7.7,busan-road-polygon:8618,,3.0,RDQ005,78.8,crosswalk:3248,대사초등학교,false,58.6,public_toilet:1648,서강주유소,화장실,false,STC-0049,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2194334,128.9346300","https://map.kakao.com/link/roadview/35.2194334,128.9346300",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,MANUAL_REVIEW,MEDIUM,p3_no_nearby_crosswalk_or_facility_still_needs_visual_check
stairs:55,강서구,계단,35.2192610,128.9361745,0.00,3.62,100035816018C03910100000000009527,8.8,busan-road-polygon:8583,,3.0,RDQ005,113.4,crosswalk:3248,대사초등학교,false,84.9,public_toilet:1526,만은에너지(주)대사리주유소,화장실,false,STC-0052,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2192610,128.9361745","https://map.kakao.com/link/roadview/35.2192610,128.9361745",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,MANUAL_REVIEW,MEDIUM,p3_no_nearby_crosswalk_or_facility_still_needs_visual_check
stairs:226,강서구,계단,35.1400361,128.8521697,0.00,26.46,100035816045C03910100000000040716,9.4,busan-road-polygon:36697,,6.0,RDQ006,685.3,crosswalk:2901,미음지구1공구-7지점,false,693.1,barrier_free_facility:9698,키피공작(구랑점),음식·카페,false,STC-0211,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1400361,128.8521697","https://map.kakao.com/link/roadview/35.1400361,128.8521697",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility,MANUAL_REVIEW,MEDIUM,p3_no_nearby_crosswalk_or_facility_still_needs_visual_check
