sourceId,districtGu,name,lat,lng,widthMeter,areaSquareMeter,ufid,nearestRoadDistanceM,nearestRoadSourceId,nearestRoadName,nearestRoadWidthMeter,nearestRoadPavement,nearestCrosswalkDistanceM,nearestCrosswalkSourceId,nearestCrosswalkLabel,nearCrosswalk30m,nearestFacilityDistanceM,nearestFacilitySourceId,nearestFacilityName,nearestFacilityCategory,nearFacility50m,duplicateClusterId,duplicateClusterSize,priority,priorityScore,reviewStatus,reviewReason,workset,decision,decisionConfidence,decisionReasonCode,kakaoMapUrl,kakaoRoadviewUrl,firstPassDecision,firstPassConfidence,firstPassReasonCode
stairs:132,강서구,계단,35.2010944,128.9677638,0.00,9.62,100035816019C03910100000000009849,5.1,busan-road-polygon:4807,,5.2,RDQ006,180.4,crosswalk:3227,신덕마을,false,283.9,public_toilet:1488,개인택시 신공항LPG충전소,화장실,false,STC-0125,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2010944,128.9677638","https://map.kakao.com/link/roadview/35.2010944,128.9677638",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility
stairs:127,강서구,계단,35.2089737,128.9341480,0.00,19.72,100035816018C03910100000000009671,5.3,busan-road-polygon:10724,,4.5,RDQ006,1026.6,crosswalk:3249,대사초등학교,false,616.0,public_toilet:1520,강서구보훈복지회관,화장실,false,STC-0120,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2089737,128.9341480","https://map.kakao.com/link/roadview/35.2089737,128.9341480",MANUAL_REVIEW,MEDIUM,p3_close_road_generic_needs_visual_check
stairs:198,강서구,계단,35.1491228,128.8192133,0.00,38.14,100035816043C03910100000000038167,5.4,busan-road-polygon:35551,,3.0,RDQ006,54.2,crosswalk:3013,지사2지점,false,1118.2,barrier_free_facility:9718,지사문화회관,행정·공공기관,false,STC-0186,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1491228,128.8192133","https://map.kakao.com/link/roadview/35.1491228,128.8192133",MANUAL_REVIEW,MEDIUM,p3_close_road_generic_needs_visual_check
stairs:166,강서구,계단,35.0333424,128.8090741,0.00,7.87,100035816083C03910100000000037033,5.6,busan-road-polygon:23753,,5.0,RDQ006,251.5,crosswalk:2800,(천성~눌차간)서중2교차로,false,337.3,public_toilet:1566,두문마을앞,화장실,false,STC-0158,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0333424,128.8090741","https://map.kakao.com/link/roadview/35.0333424,128.8090741",MANUAL_REVIEW,MEDIUM,p3_close_road_generic_needs_visual_check
stairs:107,강서구,계단,35.2205718,128.9327725,0.00,13.22,100035816018C03910100000000009603,5.7,busan-road-polygon:7980,,6.0,RDQ006,114.8,crosswalk:3251,강동우체국,false,61.4,barrier_free_facility:9392,대사1구 행복센터,복지·돌봄,false,STC-0101,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2205718,128.9327725","https://map.kakao.com/link/roadview/35.2205718,128.9327725",MANUAL_REVIEW,MEDIUM,p3_close_road_generic_needs_visual_check
stairs:349,강서구,계단,35.0818387,128.8789376,0.00,17.88,100035816066C03910100000000040906,5.7,busan-road-polygon:30199,,6.0,RDQ006,163.4,crosswalk:3028,신호지방산업단지(9),false,191.0,barrier_free_facility:9814,일반음식점,음식·카페,false,STC-0328,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0818387,128.8789376","https://map.kakao.com/link/roadview/35.0818387,128.8789376",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility
stairs:80,강서구,계단,35.2134966,128.9469970,0.00,13.80,100035816018C03910100000000009553,5.8,busan-road-polygon:7676,,4.0,RDQ006,120.9,crosswalk:3244,평강삼거리,false,84.3,public_toilet:1545,평강주유소,화장실,false,STC-0076,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.2134966,128.9469970","https://map.kakao.com/link/roadview/35.2134966,128.9469970",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility
stairs:318,강서구,계단,35.0836704,128.9113370,0.00,19.59,100035816067C03910100000000040872,6.0,busan-road-polygon:32240,,26.0,RDQ006,55.3,crosswalk:2957,명지주거단지 12지점,false,148.2,public_toilet:1540,철새탐조대,화장실,false,STC-0297,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.0836704,128.9113370","https://map.kakao.com/link/roadview/35.0836704,128.9113370",MANUAL_REVIEW,MEDIUM,p3_close_road_generic_needs_visual_check
stairs:197,강서구,계단,35.1443287,128.8230880,0.00,30.85,100035816043C03910100000000038166,6.3,busan-road-polygon:36077,,13.0,RDQ006,319.9,crosswalk:3003,지사11지점,false,932.9,barrier_free_facility:9737,일반음식점,음식·카페,false,STC-0185,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1443287,128.8230880","https://map.kakao.com/link/roadview/35.1443287,128.8230880",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility
stairs:227,강서구,계단,35.1496997,128.9485712,0.00,23.24,100035816048C03910100000000040717,6.3,busan-road-polygon:2147,,6.0,RDQ006,489.2,crosswalk:3216,맥도마을,false,316.9,public_toilet:1474,부산공항LPG충전소,화장실,false,STC-0212,1,P3,25,LOW_PRIORITY,도로 polygon 20m 이내,KEEP_REVIEW,KEEP_REVIEW,MEDIUM,p1_p2_p3_no_private_keyword,"https://map.kakao.com/link/map/35.1496997,128.9485712","https://map.kakao.com/link/roadview/35.1496997,128.9485712",MANUAL_REVIEW,LOW,p3_no_nearby_crosswalk_or_facility
