placeId,name,category,address,point,providerPlaceId
63,상수도사업본부 중동부사업소,ETC,부산광역시 중구 샘길 10,POINT(129.0328000 35.1064000),
64,중부산세무서 공중화장실,ETC,부산광역시 중구 흑교로 64,POINT(129.0248000 35.1053000),
65,보수동책방골목어린이도서관,ETC,부산광역시 중구 대청로 57-16,POINT(129.0262000 35.1034000),
66,중구 복합건강센터,ETC,부산광역시 중구 흑교로 48,POINT(129.0252000 35.1037000),
67,동광동주민센터,ETC,부산광역시 중구 동광길 105,POINT(129.0352000 35.1074000),
68,유라리광장 공중화장실,ETC,부산광역시 중구 용미길9번길 6-14,POINT(129.0351000 35.0966000),
69,부산영화체험박물관,ETC,부산광역시 중구 대청로126번길 12,POINT(129.0336000 35.1017000),
70,대청동주민센터,ETC,부산광역시 중구 대청로99번길 14-1,POINT(129.0311000 35.1042000),
71,신창공영주차장,ETC,부산광역시 중구 광복로35번길 35,POINT(129.0287000 35.1024000),
72,부산지방기상청,ETC,부산광역시 중구 복병산길32번길 5-11,POINT(129.0322000 35.1048000),
73,창선119안전센터,ETC,부산광역시 중구 대청로 68-1,POINT(129.0273000 35.1028000),
74,중앙공원 충혼탑,ETC,부산광역시 중구 중앙공원로 87,POINT(129.0280000 35.1144000),
75,남포동주민센터,ETC,부산광역시 중구 자갈치로 68-1,POINT(129.0317000 35.0974000),
76,구름산책로,ETC,부산광역시 서구 송도해변로152,POINT(129.0223144 35.0763716),
77,충무동 주민센터,ETC,"부산광역시 서구 구덕로148번길 16, 충무동주민센터 (토성동5가)",POINT(129.0216354 35.0980250),
78,고신대학복음병원,ETC,"부산광역시 서구 감천로 262, 고신대학교의과대학, 고신대학교복음병원 (암남동)",POINT(129.0131754 35.0816004),
79,구덕우편취급국,ETC,부산광역시 서구 꽃마을로 42 (서대신동3가),POINT(129.0122220 35.1179030),
80,암남동 주민센터,ETC,부산광역시 서구 충무대로 83,POINT(129.0213438 35.0799820),
81,구덕도서관,ETC,"부산광역시 서구 대신공원로 41, 부산광역시립구덕도서관 (서대신동3가)",POINT(129.0169264 35.1216714),
82,암남공원 입구,ETC,부산광역시 서구 암남동 630-37,POINT(129.0202859 35.0625878),
83,수산물유통시설관리사업소주차장,ETC,"부산광역시 서구 원양로 35, 국제수산물도매시장 (암남동)",POINT(129.0103090 35.0589390),
84,삼육부산병원,ETC,"부산광역시 서구 대티로 170, 삼육부산병원 (서대신동2가)",POINT(129.0112693 35.1125190),
85,암남공원3호광장(주차장),ETC,부산광역시 서구 암남동 620-27,POINT(129.0209836 35.0627514),
