id,placeId,featureType,isAvailable
228,463,accessibleToilet,true
229,464,accessibleToilet,true
230,465,accessibleToilet,true
231,466,accessibleToilet,true
232,467,accessibleToilet,true
233,468,accessibleToilet,true
234,471,accessibleToilet,true
235,472,accessibleToilet,true
236,473,accessibleToilet,true
237,475,accessibleToilet,true
238,476,accessibleToilet,true
239,477,accessibleToilet,true
240,478,accessibleToilet,true
241,481,accessibleToilet,true
242,483,accessibleToilet,true
243,484,accessibleToilet,true
244,486,accessibleToilet,true
245,487,accessibleToilet,true
246,489,accessibleToilet,true
247,490,accessibleToilet,true
248,491,accessibleToilet,true
249,494,accessibleToilet,true
250,495,accessibleToilet,true
251,496,accessibleToilet,true
252,499,accessibleToilet,true
253,500,accessibleToilet,true
254,501,accessibleToilet,true
255,502,accessibleToilet,true
256,503,accessibleToilet,true
257,506,accessibleToilet,true
258,508,accessibleToilet,true
259,510,accessibleToilet,true
260,511,accessibleToilet,true
261,512,accessibleToilet,true
262,513,accessibleToilet,true
263,516,accessibleToilet,true
264,518,accessibleToilet,true
265,519,accessibleToilet,true
266,520,accessibleToilet,true
267,526,accessibleToilet,true
268,527,accessibleToilet,true
269,531,accessibleToilet,true
270,532,accessibleToilet,true
271,534,accessibleToilet,true
272,537,accessibleToilet,true
273,538,accessibleToilet,true
274,539,accessibleToilet,true
275,541,accessibleToilet,true
276,542,accessibleToilet,true
277,546,accessibleToilet,true
278,547,accessibleToilet,true
279,552,accessibleToilet,true
280,553,accessibleToilet,true
281,556,accessibleToilet,true
282,557,accessibleToilet,true
283,559,accessibleToilet,true
284,560,accessibleToilet,true
285,562,accessibleToilet,true
286,564,accessibleToilet,true
287,565,accessibleToilet,true
288,567,accessibleToilet,true
289,569,accessibleToilet,true
290,570,accessibleToilet,true
291,572,accessibleToilet,true
292,574,accessibleToilet,true
293,576,accessibleToilet,true
294,577,accessibleToilet,true
295,579,accessibleToilet,true
296,581,accessibleToilet,true
297,582,accessibleToilet,true
298,584,accessibleToilet,true
299,585,accessibleToilet,true
300,586,accessibleToilet,true
301,587,accessibleToilet,true
302,595,accessibleToilet,true
303,601,accessibleToilet,true
304,602,accessibleToilet,true
305,605,accessibleToilet,true
306,607,accessibleToilet,true
307,610,accessibleToilet,true
308,614,accessibleToilet,true
309,615,accessibleToilet,true
310,618,accessibleToilet,true
311,620,accessibleToilet,true
312,623,accessibleToilet,true
313,625,accessibleToilet,true
314,626,accessibleToilet,true
315,631,accessibleToilet,true
316,632,accessibleToilet,true
317,633,accessibleToilet,true
318,635,accessibleToilet,true
319,636,accessibleToilet,true
320,638,accessibleToilet,true
321,640,accessibleToilet,true
322,641,accessibleToilet,true
323,642,accessibleToilet,true
324,644,accessibleToilet,true
325,648,accessibleToilet,true
326,649,accessibleToilet,true
327,651,accessibleToilet,true
328,659,accessibleToilet,true
329,662,accessibleToilet,true
330,665,accessibleToilet,true
331,666,accessibleToilet,true
332,667,accessibleToilet,true
333,668,accessibleToilet,true
334,669,accessibleToilet,true
335,670,accessibleToilet,true
336,672,accessibleToilet,true
337,673,accessibleToilet,true
338,674,accessibleToilet,true
339,675,accessibleToilet,true
340,678,accessibleToilet,true
341,679,accessibleToilet,true
342,680,accessibleToilet,true
343,681,accessibleToilet,true
344,682,accessibleToilet,true
345,683,accessibleToilet,true
346,685,accessibleToilet,true
347,686,accessibleToilet,true
348,691,accessibleToilet,true
349,692,accessibleToilet,true
350,693,accessibleToilet,true
351,696,accessibleToilet,true
352,697,accessibleToilet,true
353,702,accessibleToilet,true
354,704,accessibleToilet,true
355,706,accessibleToilet,true
356,707,accessibleToilet,true
357,708,accessibleToilet,true
358,710,accessibleToilet,true
359,712,accessibleToilet,true
360,714,accessibleToilet,true
361,715,accessibleToilet,true
362,718,accessibleToilet,true
363,723,accessibleToilet,true
364,729,accessibleToilet,true
365,730,accessibleToilet,true
366,733,accessibleToilet,true
367,735,accessibleToilet,true
368,738,accessibleToilet,true
369,740,accessibleToilet,true
370,741,accessibleToilet,true
371,746,accessibleToilet,true
372,747,accessibleToilet,true
373,749,accessibleToilet,true
374,751,accessibleToilet,true
375,754,accessibleToilet,true
376,764,accessibleToilet,true
377,766,accessibleToilet,true
378,767,accessibleToilet,true
379,768,accessibleToilet,true
380,775,accessibleToilet,true
381,776,accessibleToilet,true
382,783,accessibleToilet,true
383,784,accessibleToilet,true
384,785,accessibleToilet,true
385,787,accessibleToilet,true
386,788,accessibleToilet,true
387,789,accessibleToilet,true
388,791,accessibleToilet,true
389,794,accessibleToilet,true
390,795,accessibleToilet,true
391,800,accessibleToilet,true
392,801,accessibleToilet,true
393,802,accessibleToilet,true
394,809,accessibleToilet,true
395,813,accessibleToilet,true
396,823,accessibleToilet,true
397,825,accessibleToilet,true
398,826,accessibleToilet,true
399,829,accessibleToilet,true
400,830,accessibleToilet,true
401,835,accessibleToilet,true
402,839,accessibleToilet,true
403,840,accessibleToilet,true
404,842,accessibleToilet,true
405,843,accessibleToilet,true
406,846,accessibleToilet,true
407,850,accessibleToilet,true
408,852,accessibleToilet,true
409,853,accessibleToilet,true
410,854,accessibleToilet,true
411,857,accessibleToilet,true
412,858,accessibleToilet,true
413,863,accessibleToilet,true
414,864,accessibleToilet,true
415,866,accessibleToilet,true
416,868,accessibleToilet,true
417,872,accessibleToilet,true
418,876,accessibleToilet,true
419,877,accessibleToilet,true
420,882,accessibleToilet,true
421,883,accessibleToilet,true
422,884,accessibleToilet,true
423,885,accessibleToilet,true
424,886,accessibleToilet,true
425,887,accessibleToilet,true
426,888,accessibleToilet,true
427,889,accessibleToilet,true
428,890,accessibleToilet,true
429,891,accessibleToilet,true
430,892,accessibleToilet,true
431,895,accessibleToilet,true
432,897,accessibleToilet,true
433,898,accessibleToilet,true
434,899,accessibleToilet,true
435,901,accessibleToilet,true
436,906,accessibleToilet,true
437,907,accessibleToilet,true
438,908,accessibleToilet,true
439,909,accessibleToilet,true
440,910,accessibleToilet,true
441,911,accessibleToilet,true
442,915,accessibleToilet,true
443,917,accessibleToilet,true
444,918,accessibleToilet,true
445,920,accessibleToilet,true
446,921,accessibleToilet,true
447,922,accessibleToilet,true
448,923,accessibleToilet,true
449,924,accessibleToilet,true
450,925,accessibleToilet,true
451,926,accessibleToilet,true
452,928,accessibleToilet,true
453,930,accessibleToilet,true
454,932,accessibleToilet,true
455,933,accessibleToilet,true
456,934,accessibleToilet,true
457,935,accessibleToilet,true
458,939,accessibleToilet,true
459,941,accessibleToilet,true
460,942,accessibleToilet,true
461,943,accessibleToilet,true
462,945,accessibleToilet,true
463,946,accessibleToilet,true
464,947,accessibleToilet,true
465,948,accessibleToilet,true
466,951,accessibleToilet,true
467,955,accessibleToilet,true
468,956,accessibleToilet,true
469,958,accessibleToilet,true
470,959,accessibleToilet,true
471,960,accessibleToilet,true
472,961,accessibleToilet,true
473,962,accessibleToilet,true
474,963,accessibleToilet,true
475,964,accessibleToilet,true
476,966,accessibleToilet,true
477,967,accessibleToilet,true
478,968,accessibleToilet,true
479,969,accessibleToilet,true
480,972,accessibleToilet,true
481,974,accessibleToilet,true
482,975,accessibleToilet,true
483,976,accessibleToilet,true
484,977,accessibleToilet,true
485,980,accessibleToilet,true
486,982,accessibleToilet,true
487,983,accessibleToilet,true
488,985,accessibleToilet,true
489,986,accessibleToilet,true
490,987,accessibleToilet,true
491,988,accessibleToilet,true
492,989,accessibleToilet,true
493,990,accessibleToilet,true
494,993,accessibleToilet,true
495,994,accessibleToilet,true
496,995,accessibleToilet,true
497,996,accessibleToilet,true
498,998,accessibleToilet,true
499,1001,accessibleToilet,true
500,1002,accessibleToilet,true
501,1004,accessibleToilet,true
502,1008,accessibleToilet,true
503,1009,accessibleToilet,true
504,1012,accessibleToilet,true
505,1015,accessibleToilet,true
506,1016,accessibleToilet,true
507,1017,accessibleToilet,true
508,1018,accessibleToilet,true
509,1020,accessibleToilet,true
510,1021,accessibleToilet,true
511,1023,accessibleToilet,true
512,1024,accessibleToilet,true
513,1029,accessibleToilet,true
514,1041,accessibleToilet,true
515,1043,accessibleToilet,true
516,1047,accessibleToilet,true
517,1053,accessibleToilet,true
518,1056,accessibleToilet,true
519,1057,accessibleToilet,true
520,1059,accessibleToilet,true
521,1064,accessibleToilet,true
522,1068,accessibleToilet,true
523,1076,accessibleToilet,true
524,1077,accessibleToilet,true
525,1078,accessibleToilet,true
526,1079,accessibleToilet,true
527,1084,accessibleToilet,true
528,1085,accessibleToilet,true
529,1086,accessibleToilet,true
530,1088,accessibleToilet,true
531,1091,accessibleToilet,true
532,1093,accessibleToilet,true
533,1100,accessibleToilet,true
534,1104,accessibleToilet,true
535,1105,accessibleToilet,true
536,1109,accessibleToilet,true
537,1110,accessibleToilet,true
538,1116,accessibleToilet,true
539,1122,accessibleToilet,true
540,1123,accessibleToilet,true
541,1128,accessibleToilet,true
542,1131,accessibleToilet,true
543,1132,accessibleToilet,true
544,1135,accessibleToilet,true
545,1136,accessibleToilet,true
546,1137,accessibleToilet,true
547,1138,accessibleToilet,true
548,1143,accessibleToilet,true
549,1145,accessibleToilet,true
550,1147,accessibleToilet,true
551,1152,accessibleToilet,true
552,1156,accessibleToilet,true
553,1157,accessibleToilet,true
554,1163,accessibleToilet,true
555,1166,accessibleToilet,true
556,1169,accessibleToilet,true
557,1178,accessibleToilet,true
558,1185,accessibleToilet,true
559,1186,accessibleToilet,true
560,1188,accessibleToilet,true
561,1189,accessibleToilet,true
562,1190,accessibleToilet,true
563,1199,accessibleToilet,true
564,1200,accessibleToilet,true
565,1202,accessibleToilet,true
566,1209,accessibleToilet,true
567,1210,accessibleToilet,true
568,1211,accessibleToilet,true
569,1213,accessibleToilet,true
570,1214,accessibleToilet,true
571,1217,accessibleToilet,true
572,1218,accessibleToilet,true
573,1222,accessibleToilet,true
574,1227,accessibleToilet,true
575,1231,accessibleToilet,true
576,1235,accessibleToilet,true
577,1236,accessibleToilet,true
578,1238,accessibleToilet,true
579,1239,accessibleToilet,true
580,1240,accessibleToilet,true
581,1247,accessibleToilet,true
582,1248,accessibleToilet,true
583,1249,accessibleToilet,true
584,1252,accessibleToilet,true
585,1253,accessibleToilet,true
586,1255,accessibleToilet,true
587,1259,accessibleToilet,true
588,1268,accessibleToilet,true
589,1277,accessibleToilet,true
590,1278,accessibleToilet,true
591,1279,accessibleToilet,true
592,1280,accessibleToilet,true
593,1282,accessibleToilet,true
594,1284,accessibleToilet,true
595,1285,accessibleToilet,true
596,1287,accessibleToilet,true
597,1291,accessibleToilet,true
598,1295,accessibleToilet,true
599,1296,accessibleToilet,true
600,1299,accessibleToilet,true
601,1300,accessibleToilet,true
602,1301,accessibleToilet,true
603,1309,accessibleToilet,true
604,1317,accessibleToilet,true
605,1318,accessibleToilet,true
606,1324,accessibleToilet,true
607,1325,accessibleToilet,true
608,1334,accessibleToilet,true
609,1338,accessibleToilet,true
610,1341,accessibleToilet,true
611,1344,accessibleToilet,true
