key,targetType,targetId,districtGu,name,category,status,statusLabel,note,lat,lng,fixedLat,fixedLng,fixedSource,fixedSourceUrl,kakaoUrlX,kakaoUrlY,sourceKey,placeId,ufid,sourceId,updatedAt,evidenceAction,evidencePrimarySource,kakaoStatus,kakaoPlaceName,kakaoDistanceM,poiStatus,poiName,poiDistanceM
facility:2941,facility,2941,강서구,명지공원1(운동장),TOILET,KEEP,유지,[지도/POI 1차판정] 카카오 지도 근거 확인 / 카카오=명지동근린공원 개방화장실(74.7m); POI=명지공원(22.2m),35.0876600,128.9067000,,,,,,,public_toilet:1561,2941,,public_toilet:1561,2026-04-27T08:19:05.747867+00:00,RENAME_REVIEW,KAKAO,KAKAO_STRONG,명지동근린공원 개방화장실,74.7,MATCH_STRONG,명지공원,22.2
facility:2972,facility,2972,강서구,명지공원2(관리사무실),TOILET,KEEP,유지,[지도/POI 1차판정] 카카오 지도 근거 확인 / 카카오=명지동근린공원 개방화장실(79.0m); POI=명지공원(26.6m),35.0877000,128.9067000,,,,,,,public_toilet:1606,2972,,public_toilet:1606,2026-04-27T08:19:05.747867+00:00,RENAME_REVIEW,KAKAO,KAKAO_STRONG,명지동근린공원 개방화장실,79.0,MATCH_STRONG,명지공원,26.6
facility:2894,facility,2894,강서구,명지노인종합복지관 화장실,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / 카카오=명지노인종합복지관(57.3m); POI=공중화장실(60.9m),35.1102860,128.9236070,,,,,,,public_toilet:1493,2894,,public_toilet:1493,2026-04-27T08:19:05.747867+00:00,POI_ONLY_RECHECK,POI,KAKAO_WEAK,명지노인종합복지관,57.3,MATCH_MEDIUM,공중화장실,60.9
facility:2969,facility,2969,강서구,명지동75호광장(테니스장),TOILET,KEEP,유지,[지도/POI 1차판정] 카카오 지도 근거 확인 / 카카오=75호광장테니스장(48.5m); POI=공중화장실(4.8m),35.0931187,128.9235914,,,,,,,public_toilet:1601,2969,,public_toilet:1601,2026-04-27T08:19:05.747867+00:00,RENAME_REVIEW,KAKAO,KAKAO_MEDIUM,75호광장테니스장,48.5,MATCH_STRONG,공중화장실,4.8
facility:2931,facility,2931,강서구,명지시장(시장번영회),TOILET,KEEP,유지,[지도/POI 1차판정] 카카오 지도 근거 확인 / 카카오=부산명지시장 주차장개방화장실(29.3m); POI=공중화장실(8.6m),35.1129300,128.9316000,,,,,,,public_toilet:1547,2931,,public_toilet:1547,2026-04-27T08:19:05.747867+00:00,KEEP,KAKAO,KAKAO_STRONG,부산명지시장 주차장개방화장실,29.3,MATCH_STRONG,공중화장실,8.6
facility:3004,facility,3004,강서구,명지오션시티 서편,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / POI=공중화장실(4.6m),35.0867700,128.8959000,,,,,,,public_toilet:1656,3004,,public_toilet:1656,2026-04-27T08:19:05.747867+00:00,POI_ONLY_RECHECK,POI,KAKAO_NO_RESULT,,,MATCH_STRONG,공중화장실,4.6
facility:2917,facility,2917,강서구,명지지구대,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / 카카오=명지지구대(9.5m); POI=명지지구대(9.5m),35.0938700,128.9087000,,,,,,,public_toilet:1528,2917,,public_toilet:1528,2026-04-27T08:19:05.747867+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,명지지구대,9.5,MATCH_STRONG,명지지구대,9.5
facility:2890,facility,2890,강서구,무궁화공원,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / 카카오=통일무궁화공원(72.3m); POI=공중화장실(16.9m),35.2203500,128.9743000,,,,,,,public_toilet:1483,2890,,public_toilet:1483,2026-04-27T08:19:05.747867+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_MEDIUM,통일무궁화공원,72.3,MATCH_STRONG,공중화장실,16.9
facility:2993,facility,2993,강서구,미음야구장,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / 카카오=미음야구장(115.1m); POI=공중화장실(7.6m),35.1409000,128.8673000,,,,,,,public_toilet:1635,2993,,public_toilet:1635,2026-04-27T08:19:05.747867+00:00,POI_ONLY_RECHECK,POI,KAKAO_WEAK,미음야구장,115.1,MATCH_STRONG,공중화장실,7.6
facility:2949,facility,2949,강서구,보람공원,TOILET,KEEP,유지,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / 카카오=보람공원(10.0m); POI=보람공원(8.7m),35.0884200,128.8444000,,,,,,,public_toilet:1570,2949,,public_toilet:1570,2026-04-27T08:19:05.747867+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,보람공원,10.0,MATCH_STRONG,보람공원,8.7
